0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
0.15	0.1	0.1	0.1	0.1	0.1	0.05	0.05	0.05	0.05	0.05	0.05	0.025	0.025
